Size,Algorithm,DataType,AvgComparisons,AvgTime_ms,MedianTime_ms
2600,MergeSort,Almost_Sorted,34240,13.517,13.531
2600,MergeSort,Common_Prefix,404934,18.865,18.733
2700,MergeSort,Random,39152,14.234,14.269
2700,MergeSort,Reversed,22532,13.453,13.282
2700,MergeSort,Almost_Sorted,36554,13.933,13.779
2700,MergeSort,Common_Prefix,423288,19.682,19.593
2800,MergeSort,Random,40783,15.606,15.145
2800,MergeSort,Reversed,23447,14.214,14.240
2800,MergeSort,Almost_Sorted,38027,14.460,14.308
2800,MergeSort,Common_Prefix,441455,20.949,20.565
2900,MergeSort,Random,42671,17.121,15.958
2900,MergeSort,Reversed,24527,14.827,14.708
2900,MergeSort,Almost_Sorted,39507,15.525,15.267
2900,MergeSort,Common_Prefix,460043,21.301,21.283
3000,MergeSort,Random,44426,21.283,15.943
3000,MergeSort,Reversed,25783,15.195,15.110
3000,MergeSort,Almost_Sorted,41474,15.744,15.678
3000,MergeSort,Common_Prefix,477791,23.044,22.906
100,Ternary_QuickSort,Random,584,0.055,0.052
100,Ternary_QuickSort,Reversed,615,0.054,0.052
100,Ternary_QuickSort,Almost_Sorted,622,0.057,0.054
100,Ternary_QuickSort,Common_Prefix,1996,0.079,0.075
200,Ternary_QuickSort,Random,1412,0.145,0.126
200,Ternary_QuickSort,Reversed,1431,0.151,0.119
200,Ternary_QuickSort,Almost_Sorted,1437,0.123,0.121
200,Ternary_QuickSort,Common_Prefix,4208,0.171,0.167
300,Ternary_QuickSort,Random,2347,0.210,0.202
300,Ternary_QuickSort,Reversed,2334,0.204,0.199
300,Ternary_QuickSort,Almost_Sorted,2311,0.229,0.203
300,Ternary_QuickSort,Common_Prefix,6526,0.274,0.262
400,Ternary_QuickSort,Random,3363,0.300,0.300
400,Ternary_QuickSort,Reversed,3279,0.296,0.271
400,Ternary_QuickSort,Almost_Sorted,3343,0.285,0.287
400,Ternary_QuickSort,Common_Prefix,8990,0.392,0.369
500,Ternary_QuickSort,Random,4243,0.380,0.383
500,Ternary_QuickSort,Reversed,4259,0.363,0.361
500,Ternary_QuickSort,Almost_Sorted,4337,0.374,0.362
500,Ternary_QuickSort,Common_Prefix,11340,0.496,0.481
600,Ternary_QuickSort,Random,5435,0.466,0.470
600,Ternary_QuickSort,Reversed,5229,0.563,0.568
600,Ternary_QuickSort,Almost_Sorted,5495,0.596,0.591
600,Ternary_QuickSort,Common_Prefix,13601,0.662,0.594
700,Ternary_QuickSort,Random,6430,0.723,0.692
700,Ternary_QuickSort,Reversed,6125,0.684,0.741
700,Ternary_QuickSort,Almost_Sorted,6517,0.711,0.783
700,Ternary_QuickSort,Common_Prefix,16127,0.927,0.957
800,Ternary_QuickSort,Random,7774,0.696,0.683
800,Ternary_QuickSort,Reversed,7483,0.634,0.621
800,Ternary_QuickSort,Almost_Sorted,7509,0.677,0.651
800,Ternary_QuickSort,Common_Prefix,19002,0.846,0.843
900,Ternary_QuickSort,Random,8593,0.803,0.754
900,Ternary_QuickSort,Reversed,8597,0.838,0.779
900,Ternary_QuickSort,Almost_Sorted,8844,0.731,0.726
900,Ternary_QuickSort,Common_Prefix,20973,0.924,0.865
1000,Ternary_QuickSort,Random,9794,0.845,0.822
1000,Ternary_QuickSort,Reversed,9798,0.815,0.828
1000,Ternary_QuickSort,Almost_Sorted,9515,0.803,0.799
1000,Ternary_QuickSort,Common_Prefix,23413,1.020,1.024
1100,Ternary_QuickSort,Random,10679,0.958,0.919
1100,Ternary_QuickSort,Reversed,10564,0.887,0.872
1100,Ternary_QuickSort,Almost_Sorted,10981,0.916,0.875
1100,Ternary_QuickSort,Common_Prefix,26148,1.110,1.099
1200,Ternary_QuickSort,Random,12062,1.108,1.049
1200,Ternary_QuickSort,Reversed,11965,1.005,0.980
1200,Ternary_QuickSort,Almost_Sorted,11797,1.011,0.973
1200,Ternary_QuickSort,Common_Prefix,28861,1.311,1.289
1300,Ternary_QuickSort,Random,13271,1.128,1.104
1300,Ternary_QuickSort,Reversed,13302,1.154,1.124
1300,Ternary_QuickSort,Almost_Sorted,13115,1.098,1.046
1300,Ternary_QuickSort,Common_Prefix,31250,1.395,1.350
1400,Ternary_QuickSort,Random,14139,1.236,1.198
1400,Ternary_QuickSort,Reversed,14837,1.235,1.216
1400,Ternary_QuickSort,Almost_Sorted,14320,1.221,1.200
1400,Ternary_QuickSort,Common_Prefix,34232,1.636,1.530
1500,Ternary_QuickSort,Random,15635,1.341,1.296
1500,Ternary_QuickSort,Reversed,15622,1.342,1.280
1500,Ternary_QuickSort,Almost_Sorted,15408,1.301,1.286
1500,Ternary_QuickSort,Common_Prefix,36483,1.667,1.656
1600,Ternary_QuickSort,Random,17338,1.528,1.494
1600,Ternary_QuickSort,Reversed,16535,1.415,1.377
1600,Ternary_QuickSort,Almost_Sorted,16747,1.389,1.333
1600,Ternary_QuickSort,Common_Prefix,39288,1.803,1.752
1700,Ternary_QuickSort,Random,17844,1.552,1.529
1700,Ternary_QuickSort,Reversed,18105,1.517,1.486
1700,Ternary_QuickSort,Almost_Sorted,17931,1.511,1.491
1700,Ternary_QuickSort,Common_Prefix,42512,1.993,1.934
1800,Ternary_QuickSort,Random,19279,1.682,1.688
1800,Ternary_QuickSort,Reversed,19248,1.617,1.595
1800,Ternary_QuickSort,Almost_Sorted,19203,1.582,1.555
1800,Ternary_QuickSort,Common_Prefix,44573,2.087,2.035
1900,Ternary_QuickSort,Random,20316,1.770,1.761
1900,Ternary_QuickSort,Reversed,20756,1.699,1.645
1900,Ternary_QuickSort,Almost_Sorted,21296,1.817,1.779
1900,Ternary_QuickSort,Common_Prefix,47244,2.211,2.196
2000,Ternary_QuickSort,Random,22177,1.980,1.882
2000,Ternary_QuickSort,Reversed,21595,1.885,1.799
2000,Ternary_QuickSort,Almost_Sorted,22202,1.815,1.764
2000,Ternary_QuickSort,Common_Prefix,49923,2.320,2.338
2100,Ternary_QuickSort,Random,22541,1.986,1.962
2100,Ternary_QuickSort,Reversed,22642,2.384,2.486
2100,Ternary_QuickSort,Almost_Sorted,23071,1.941,1.910
2100,Ternary_QuickSort,Common_Prefix,52600,2.530,2.496
2200,Ternary_QuickSort,Random,23808,2.078,1.972
2200,Ternary_QuickSort,Reversed,24424,2.056,1.980
2200,Ternary_QuickSort,Almost_Sorted,24254,1.993,1.995
2200,Ternary_QuickSort,Common_Prefix,54546,2.573,2.477
2300,Ternary_QuickSort,Random,25624,2.232,2.223
2300,Ternary_QuickSort,Reversed,25888,2.153,2.071
2300,Ternary_QuickSort,Almost_Sorted,25869,2.222,2.175
2300,Ternary_QuickSort,Common_Prefix,57414,2.768,2.760
2400,Ternary_QuickSort,Random,26654,2.317,2.284
2400,Ternary_QuickSort,Reversed,27129,2.332,2.247
2400,Ternary_QuickSort,Almost_Sorted,27096,2.291,2.264
2400,Ternary_QuickSort,Common_Prefix,60316,2.857,2.819
2500,Ternary_QuickSort,Random,27981,2.455,2.363
2500,Ternary_QuickSort,Reversed,28286,2.405,2.321
2500,Ternary_QuickSort,Almost_Sorted,28406,2.408,2.331
2500,Ternary_QuickSort,Common_Prefix,63167,3.130,3.100
2600,Ternary_QuickSort,Random,29305,2.519,2.503
2600,Ternary_QuickSort,Reversed,29080,2.408,2.411
2600,Ternary_QuickSort,Almost_Sorted,29866,2.461,2.460
2600,Ternary_QuickSort,Common_Prefix,65606,3.166,3.115
2700,Ternary_QuickSort,Random,30627,2.806,2.746
2700,Ternary_QuickSort,Reversed,30672,2.549,2.541
2700,Ternary_QuickSort,Almost_Sorted,31255,2.568,2.509
2700,Ternary_QuickSort,Common_Prefix,68288,3.308,3.272
2800,Ternary_QuickSort,Random,32046,2.830,2.759
2800,Ternary_QuickSort,Reversed,31848,2.661,2.642
2800,Ternary_QuickSort,Almost_Sorted,32219,2.756,2.706
2800,Ternary_QuickSort,Common_Prefix,71205,3.657,3.482
2900,Ternary_QuickSort,Random,33866,3.001,2.943
2900,Ternary_QuickSort,Reversed,32836,2.703,2.691
2900,Ternary_QuickSort,Almost_Sorted,33273,2.793,2.759
2900,Ternary_QuickSort,Common_Prefix,73731,3.612,3.550
3000,Ternary_QuickSort,Random,34342,3.073,2.892
3000,Ternary_QuickSort,Reversed,34882,2.894,2.806
3000,Ternary_QuickSort,Almost_Sorted,35052,2.986,2.925
3000,Ternary_QuickSort,Common_Prefix,76575,3.795,3.690
100,LCP_MergeSort,Random,598,0.512,0.516
100,LCP_MergeSort,Reversed,367,0.387,0.368
100,LCP_MergeSort,Almost_Sorted,522,0.326,0.291
100,LCP_MergeSort,Common_Prefix,8147,0.407,0.405
200,LCP_MergeSort,Random,1490,0.686,0.635
200,LCP_MergeSort,Reversed,900,0.644,0.621
200,LCP_MergeSort,Almost_Sorted,1258,0.698,0.647
200,LCP_MergeSort,Common_Prefix,19335,0.975,0.953
300,LCP_MergeSort,Random,2507,1.218,1.109
300,LCP_MergeSort,Reversed,1528,1.067,1.043
300,LCP_MergeSort,Almost_Sorted,2227,1.087,1.070
300,LCP_MergeSort,Common_Prefix,31848,1.621,1.588
400,LCP_MergeSort,Random,3644,1.644,1.549
400,LCP_MergeSort,Reversed,2183,1.641,1.480
400,LCP_MergeSort,Almost_Sorted,3272,1.638,1.476
400,LCP_MergeSort,Common_Prefix,44982,2.370,2.291
500,LCP_MergeSort,Random,4832,2.009,1.936
500,LCP_MergeSort,Reversed,2991,1.882,1.858
500,LCP_MergeSort,Almost_Sorted,4048,1.980,1.977
500,LCP_MergeSort,Common_Prefix,58337,3.007,2.912
600,LCP_MergeSort,Random,6141,2.502,2.458
600,LCP_MergeSort,Reversed,3623,2.466,2.373
600,LCP_MergeSort,Almost_Sorted,5487,2.485,2.311
600,LCP_MergeSort,Common_Prefix,73476,3.685,3.640
700,LCP_MergeSort,Random,7383,3.041,2.899
700,LCP_MergeSort,Reversed,4384,2.954,2.751
700,LCP_MergeSort,Almost_Sorted,6709,2.934,2.814
700,LCP_MergeSort,Common_Prefix,87972,4.333,4.243
800,LCP_MergeSort,Random,8790,3.478,3.440
800,LCP_MergeSort,Reversed,5211,3.350,3.257
800,LCP_MergeSort,Almost_Sorted,7690,3.420,3.364
800,LCP_MergeSort,Common_Prefix,102979,5.166,5.074
900,LCP_MergeSort,Random,10143,4.083,3.843
900,LCP_MergeSort,Reversed,6081,3.793,3.593
900,LCP_MergeSort,Almost_Sorted,9010,3.879,3.728
900,LCP_MergeSort,Common_Prefix,117772,5.891,5.871
1000,LCP_MergeSort,Random,11545,4.554,4.529
1000,LCP_MergeSort,Reversed,7049,4.365,4.171
1000,LCP_MergeSort,Almost_Sorted,10334,4.453,4.389
1000,LCP_MergeSort,Common_Prefix,133172,6.643,6.583
1100,LCP_MergeSort,Random,13067,5.113,5.043
1100,LCP_MergeSort,Reversed,7760,4.769,4.642
1100,LCP_MergeSort,Almost_Sorted,11588,5.017,4.839
1100,LCP_MergeSort,Common_Prefix,149334,7.316,7.217
1200,LCP_MergeSort,Random,14549,5.616,5.524
1200,LCP_MergeSort,Reversed,8533,5.192,5.094
1200,LCP_MergeSort,Almost_Sorted,13046,5.390,5.339
1200,LCP_MergeSort,Common_Prefix,165350,8.198,8.179
1300,LCP_MergeSort,Random,16094,6.276,6.117
1300,LCP_MergeSort,Reversed,9443,5.761,5.613
1300,LCP_MergeSort,Almost_Sorted,14387,6.703,6.244
1300,LCP_MergeSort,Common_Prefix,181810,8.995,9.028
1400,LCP_MergeSort,Random,17568,6.838,6.711
1400,LCP_MergeSort,Reversed,10201,6.319,6.187
1400,LCP_MergeSort,Almost_Sorted,16075,6.569,6.505
1400,LCP_MergeSort,Common_Prefix,198140,9.901,9.816
1500,LCP_MergeSort,Random,19092,7.294,7.329
1500,LCP_MergeSort,Reversed,11203,6.851,6.821
1500,LCP_MergeSort,Almost_Sorted,17314,7.035,7.091
1500,LCP_MergeSort,Common_Prefix,214008,10.579,10.506
1600,LCP_MergeSort,Random,20681,7.719,7.658
1600,LCP_MergeSort,Reversed,12173,7.286,7.245
1600,LCP_MergeSort,Almost_Sorted,18544,7.749,7.395
1600,LCP_MergeSort,Common_Prefix,231074,11.513,11.329
1700,LCP_MergeSort,Random,22350,8.333,8.257
1700,LCP_MergeSort,Reversed,13018,7.754,7.765
1700,LCP_MergeSort,Almost_Sorted,20619,8.200,8.167
1700,LCP_MergeSort,Common_Prefix,248155,16.741,12.298
1800,LCP_MergeSort,Random,23877,8.923,8.699
1800,LCP_MergeSort,Reversed,14065,8.890,8.389
1800,LCP_MergeSort,Almost_Sorted,21531,8.691,8.631
1800,LCP_MergeSort,Common_Prefix,264165,13.087,13.002
1900,LCP_MergeSort,Random,25483,9.337,9.304
1900,LCP_MergeSort,Reversed,15126,8.819,8.790
1900,LCP_MergeSort,Almost_Sorted,23111,9.334,9.158
1900,LCP_MergeSort,Common_Prefix,281753,13.969,13.828
2000,LCP_MergeSort,Random,27207,9.885,9.796
2000,LCP_MergeSort,Reversed,16296,9.522,9.344
2000,LCP_MergeSort,Almost_Sorted,24451,9.744,9.701
2000,LCP_MergeSort,Common_Prefix,299187,14.685,14.487
